,translations_google,words
0,розчарування,frustrations
1,повзати,crawling
2,посередність,mediocrity
3,зберегти,to retain
4,відлякатись,to scare off
5,непохитний,unwavering
6,розгорнутися,unfold
7,підсвідомість,subconscious
8,підійти,to come up
9,перевершити,to surpass
10,вийти за рамки,to go beyond
11,термостат,thermostat
12,відрегулювати,to readjust
13,стиснути,to shrink
14,підняти,to lift out
15,спуститися разом,to plod along
16,інструмент-і-вмирати торгівлі,tool-and-die trade
17,запрягати,to harness
18,підрозділи,subdivisions
19,дивно,astonishingly
20,затримати,to hold back
21,проповідувати,to preach
22,смуга,streak
23,самостійна амортизація,self-depreciation
24,доброзичливий,salable
25,майстри,foremen
26,бути підпорядкованим,to be under charge of
27,зневажають думки,deprecating thoughts
28,метушливий,fussy 
29,прориви,breakthroughs
30,над довгим потягом,over the long pull
31,підключити,to plug along
32,бути поза класом,to be outclassed
33,продати коротко,to sell short
34,сумлінно,conscientiously
35,кислотний тест (для задоволення),acid test (to meet)
36,завершити,to wrap up
37,самоврядування,self-administered
38,ковзати,to slip
39,в поле зору,insight
40,дотримуватися,to adhere
41,excusitis,excusitis
42,розум-мертва,mind-deadening
43,книжковий,bookful
44,качати позаду,to duck behind
45,запліднити,to fertilize
46,для вакцинації,to vaccinate
47,недуги,ailments
48,триматися в чекі,to hold oneself in check
49,мирянин,layman
50,своєрідний,peculiar
51,арештований,arrested
52,клапан,valve
53,тканина,tissue
54,підшкірні залози,hypodermics
55,братство,fraternity
56,з'єднати,to bundle up
57,Післяобідній чай,to shun
58,похвалити,to praise
59,гандикап,handicap
60,хлопець,facet
61,лизати,to lick
62,Старий-Мадіс,old-maidish
63,емерит,emeritus
64,жовчний міхур,gallbladder
65,обірваний,ragged
66,іржавіти,to rust out
67,пройти,to pass up
68,хвороба,malady
69,робота,chore
70,ломка,pitfall
71,достатній (капітал),ample (capital)
72,фрахт,freight
73,пробурена,drilled
74,бути введено в (армію),to be inducted into (army)
75,гучний,flunky
76,робота на вибух,a bang-up job
77,верхній політ,the top-flight
78,кислий,sour
79,союзник,allied
80,костюм з наклепом,libel suit
81,різне,miscellaneous
82,споглядати,to contemplate
83,вимити,to be washed up
84,сироватка,serum
85,перевернути,to shift over
86,подряпати,scratch
87,щоб зібрати,to muster
88,згромадження,congregation
89,брокерської,stockbrokerage
90,міцний,rugged
91,вгору,upward
92,обгрунтувати,to substantiate
93,піддаватися,to succumb 
94,лестити,to flatter
95,боротися з,to wrestle with
96,начальник,superior
97,відкат,a set-back
98,заспокійливий,soothing
99,виходити з,to stem from
100,племінний майданчик,breeding ground
101,поверхневий,superficial
102,поговорити,to jot down
103,йти в ногу,to keep pace
104,зчеплення,grip
105,розробити,to elaborate
106,точно визначити,to pinpoint
107,"бути на межі, щоб робити щось",to be on the verge to do smth
108,застебнути вниз,to buckle down
109,набридло,mired
110,догляд за волоссям,grooming
111,бур'ян,weed
112,збільшити,to magnify
113,перетнути,to cross up
114,прямо,squarely
115,щоб зібрати sth \ sb up,to scoop sth\sb up
116,картера,crankcase
117,неповноцінність,inferiority
118,неправильно,maladjusted
119,медовий місяць,honeymoon
120,спустився,jilted
121,прокласти шлях,to pave the way
122,принизити,to humiliate
123,зубчастий,jagged
124,ключ,clue
125,збити,to shrivel
126,викликати,to arouse
127,Привиди,quirk
128,jaybird,jaybird
129,самотній,lonesome
130,вирватися на,to growl at
131,підібрати кого-л,to pick on smb
132,мізерний,meager
133,роздратований,irate
134,вводити,to inject
135,язик-клеймо,tongue-lashing
136,козлом відпущення,a scapegoat
137,вибити свій стек,to blow one's stack
138,обдурити,to cheat
139,звільнення,dismissal
140,наслідки,repercussions
141,точки зору,standpoint
142,проповідувати,to preach
143,проповідь,sermon
144,десантник,a paratrooper
145,попередник,precursor
146,люб'язно,courtesy
147,схопити,to slouch
148,вигнати,to banish
149,битися,to scramble
