,meanings,translations,words
0,the feeling that accompanies an experience of being thwarted in attaining your goals,розчарування,frustrations
1,a slow mode of locomotion on hands and knees or dragging the body,повзати,crawling
2,ordinariness as a consequence of being average and not outstanding,посередність,mediocrity
3,marked by firm determination or resolution; not shakable,непохитний,unwavering
4,develop or come to a promising stage,розгорнутися,unfold
5,psychic activity just below the level of awareness,підсвідомість,subconscious
6,a regulator for automatically regulating temperature by starting or stopping the supply of heat,термостат,thermostat
7,an area composed of subdivided lots,підрозділи,subdivisions
8,in an amazing manner; to everyone's surprise,дивно,astonishingly
9,an unbroken series of events,смуга,streak
10,a feeling of being of little worth,самостійна амортизація,self-depreciation
11,capable of being sold; fit for sale,доброзичливий,salable
12,a person who exercises control over workers,майстри,foremen
13,NO MEANING FOUND,метушливий,fussy 
14,a productive insight,прориви,breakthroughs
15,with extreme conscientiousness,сумлінно,conscientiously
16,NO MEANING FOUND,самоврядування,self-administered
17,clear or deep perception of a situation,в поле зору,insight
18,NO MEANING FOUND,excusitis,excusitis
19,NO MEANING FOUND,розум-мертва,mind-deadening
20,NO MEANING FOUND,книжковий,bookful
21,an often persistent bodily disorder or disease; a cause for complaining,недуги,ailments
22,someone who is not a clergyman or a professional person,мирянин,layman
23,beyond or deviating from the usual or expected,своєрідний,peculiar
24,take into custody,арештований,arrested
25,a structure in a hollow organ (like the heart) with a flap to insure one-way flow of fluid through it,клапан,valve
26,part of an organism consisting of an aggregate of cells having a similar structure and function,тканина,tissue
27,a piston syringe that is fitted with a hypodermic needle for giving injections,підшкірні залози,hypodermics
28,a social club for male undergraduates,братство,fraternity
29,the condition of being unable to perform as a consequence of physical or mental unfitness,гандикап,handicap
30,a distinct feature or element in a problem,хлопець,facet
31,primly fastidious,стара-дідька,old-maidish
32,a professor or minister who is retired from assigned duties,емерит,emeritus
33,a muscular sac attached to the liver that stores bile (secreted by the liver) until it is needed for digestion,жовчний міхур,gallbladder
34,treat cruelly,обірваний,ragged
35,any unwholesome or desperate condition,хвороба,malady
36,a specific piece of work required to be done as a duty or for a specific fee,робота,chore
37,an unforeseen or unexpected or surprising difficulty,ломка,pitfall
38,goods carried by a large vehicle,фрахт,freight
39,"make a hole, especially with a pointed power or hand tool",пробурена,drilled
40,a male servant (especially a footman),гучний,flunky
41,a cocktail made of a liquor (especially whiskey or gin) mixed with lemon or lime juice and sugar,кислий,sour
42,"become an ally or associate, as by a treaty or marriage",союзник,allied
43,consisting of a haphazard assortment of different kinds,різне,miscellaneous
44,"an amber, watery fluid, rich in proteins, that separates out when blood coagulates",сироватка,serum
45,an abraded area where the skin is torn or worn off,подряпати,scratch
46,a group of people who adhere to a common faith and habitually attend a given church,згромадження,congregation
47,NO MEANING FOUND,брокерської,stockbrokerage
48,sturdy and strong in constitution or construction; enduring,міцний,rugged
49,directed up,вгору,upward
50,one of greater rank or station or quality,начальник,superior
51,give moral or emotional strength to,заспокійливий,soothing
52,concerned with or comprehending only what is apparent or obvious; not deep or penetrating emotionally or intellectually,поверхневий,superficial
53,the act of grasping,зчеплення,grip
54,entrap,набридло,mired
55,activity leading to skilled behavior,догляд за волоссям,grooming
56,any plant that crowds out cultivated plants,бур'ян,weed
57,directly and without evasion; not roundabout,прямо,squarely
58,housing for a crankshaft,картера,crankcase
59,the state of being inferior,неповноцінність,inferiority
60,poorly adjusted to demands and stresses of daily living,неправильно,maladjusted
61,a holiday taken by a newly married couple,медовий місяць,honeymoon
62,cast aside capriciously or unfeelingly,спустився,jilted
63,cut teeth into; make a jagged cutting edge,зубчастий,jagged
64,a slight indication,ключ,clue
65,a strange attitude or habit,Привиди,quirk
66,common jay of eastern North America; bright blue with grey breast,jaybird,jaybird
67,being the only one; single and isolated from others,самотній,lonesome
68,deficient in amount or quality or extent,мізерний,meager
69,feeling or showing extreme anger,роздратований,irate
70,rebuking a person harshly,язик-клеймо,tongue-lashing
71,a judgment disposing of the matter without a trial,звільнення,dismissal
