1,frustrations,"розлад, розчарування","the feeling of being upset or annoyed, especially because of inability to change or achieve something.",9
2,crawling,повзання,behave obsequiously or ingratiatingly in the hope of gaining someone's favor.,9
3,mediocrity,"посередність, убогість",the quality or state of being mediocre.,9
4,to retain,"утримувати, зберігати",continue to have (something); keep possession of.,12
5,to scare off,"відлякувати, полохати","frighten away, scare away",12
6,unwavering,непохитний,steady or resolute; not wavering.,12
7,unfold,"розвивати, розгортати",open or spread out from a folded position.,13
8,subconscious,підсвідомий,of or concerning the part of the mind of which one is not fully aware but which influences one's actions and feelings.,13
9,to come up,виникати,,13
10,to surpass,перевершувати,exceed; be greater than.,14
11,to go beyond,вийти за рамки,to be more than something,14
12,thermostat,термостат,"a device that automatically regulates temperature, or that activates a device when the temperature reaches a certain point.",14
13,to readjust,відрегулювати,set or adjust (something) again.,14
14,to shrink,скорочувати,become or make smaller in size or amount; contract or cause to contract.,14
15,to lift out,підняти(себе) звідкись,"remove something concrete, as by lifting, pushing, or taking off, or remove something abstract",15
16,to plod along,повільно просуватись (по карєрних сходинках),to progress at a very slow steady rate,15
17,tool-and-die trade,,the skilled practice of a practical occupation,15
18,to harness,приборкати,control and make use of ,16
19,subdivisions,підрозділ,the action of subdividing or being subdivided.,16
20,astonishingly,дивно,in an amazing manner; to everyone's surprise,17
21,to hold back,утримуватися,resist doing something,17
22,to preach,"проповідувати, умовляти","speak, plead, or argue in favor of",17
23,streak,риса,an element of a specified kind in someone's character,17
24,self-depreciation,недооцінення себе,a feeling of being of little worth,17
25,salable,придатний для продажу,capable of being sold; fit for sale,17
26,foremen,наставник,a person who exercises control over workers,18
27,to be under charge of,бути підпорядкованим,to be a subordinate,18
28,deprecating thoughts,засуджуючі,tending to diminish or disparage,18
29,fussy ,метушливий,(of a person) fastidious about one's needs or requirements; hard to please.,18
30,breakthroughs,"прориви, досягнення","a sudden, dramatic, and important discovery or development.",19
31,over the long pull,досягати чогось протягом довгого періоду часу,a lot of effort to achieve something over a long period of time,20
32,to plug along,застрягнути в чомусь(в буденності),block or fill in,20
33,to be outclassed,не бути схожим на інших,to be much better than someone or something else,21
34,to sell short,недооцінювати себе,underestimate the real value or ability of,21
35,conscientiously,сумлінний,with extreme conscientiousness,22
36,acid test (to meet),"тест, проба","a fact, event, or situation that proves something, for example whether a plan will work",22
37,to wrap up,завершити,finish a task completely,22
38,self-administered,самовпорядкований,to supervise processes in one's life by oneself,22
39,to slip,,,23
40,insight,,,23
41,to adhere,,,24
42,excusitis,,,25
43,mind-deadening,,,25
44,bookful,,,25
45,to duck behind,,,26
46,to fertilize,,,26
47,to vaccinate,,,26
48,ailments,,,27
49,to hold oneself in check,,,27
50,layman,,,28
51,peculiar,,,28
52,arrested,,,28
53,valve,,,29
54,tissue,,,29
55,hypodermics,,,29
56,fraternity,,,30
57,to bundle up,,,30
58,to shun,,,30
59,to praise,,,30
60,handicap,,,30
61,facet,,,31
62,to lick,,,31
63,old-maidish,,,31
64,emeritus,,,31
65,gallbladder,,,31
66,ragged,,,32
67,to rust out,,,32
68,to pass up,,,32
69,malady,,,32
70,chore,,,33
71,pitfall,,,34
72,ample (capital),,,34
73,freight,вантаж,"goods that are carried by trains, trucks, ships, or aircraft",34
74,drilled,натренований,to make someone repeat something several times so that they learnit,34
75,to be inducted into (army),приймати в члени,to accept someone officially as a member of an organization,35
76,flunky,покірний,a person of unquestioning obedience,35
77,a bang-up job,гарна робота,very good or excellent,35
78,the top-flight,найкращий в чомусь(в роботі),the highest level in a job or sport,36
79,sour,ворожий,very unfriendly or unpleasant,36
80,allied,"близький, пов'язаний з чимось",related to something,37
81,libel suit,позов про наклеп,defamation suit,37
82,miscellaneous,"різний, різнорідний",consisting of a mixture of several different things,37
83,to contemplate,розглядати (як варіант),to think about something for a long time or in a serious way,40
84,to be washed up,бути виснаженим,be exhausted,40
85,serum,сиворотка,a clear liquid in blood that contains substances that stop infection,41
86,to shift over,перейти (на нову посаду)(змінити щось),a change in something,41
87,scratch,карабкання(з початку),score or mark the surface of (something) with a sharp or pointed object.,41
88,to muster,зібратись з силами,"to get enough support, bravery, or energy to do something difficult",42
89,congregation,громада,a group of people assembled for religious worship.,42
90,stockbrokerage,брокерська контора,"a financial organization that buys and sells shares, bonds, etc. for other people and organizations",42
91,rugged,"міцний, сильний",one's face looks strong and attractive,42
92,upward,той що рухається вгору,moving towards a higher place or level,45
93,to substantiate,підкріплювати доказами,to provide facts that prove that something is true,45
94,to succumb ,не втриматись,to not be able to stop yourself doing something,46
95,to flatter,лестити,"to say nice things to someone in order to make them feel attractive or important, sometimes in a way that is not sincere",46
96,to wrestle with,боротись з чимось,to try very hard to deal with a difficult problem or decision,46
97,superior,високомірний,thinking that you are better than other people,47
98,a set-back,затримка,to delay the progress of someone or something,48
99,soothing,заспокійливий,making you feel calm or in less pain,49
100,to stem from,"виникати, походити",to develop as the result of something,49
101,breeding ground,розсадник (очаг),"a place where something develops quickly, especially somethingbad",49
102,superficial,поверхневий,existing or occurring at or on the surface.,50
103,to jot down,швидко записувати,to write something quickly on a piece of paper so that youremember it,51
104,to keep pace,йти в ногу,the speed at which someone or something moves or does something,51
105,grip,хватка,a firm hold; a tight grasp or clasp,51
106,to elaborate,розвивати ,"develop or present (a theory, policy, or system) in detail.",51
107,to pinpoint,точно визначати,to say exactly what or where something is,52
108,to be on the verge to do smth,бути на грані чогось,to be going to happen or to do something very soon,52
109,to buckle down,взятись за справу,to start working hard,53
110,mired,забруднений,caused to become stuck in mud.,53
111,grooming,догляд за собою,"preparation, dressing",54
112,weed,бур'ян,a wild plant growing where it is not wanted and in competition with cultivated plants.,54
113,to magnify,усугублять,to make a bad situation worse,55
114,to cross up,збити з пантелику,to make (someone) confused,55
115,squarely,прямо,directly,56
116,to scoop sth\sb up,взяти в руки,to lift something or someone with your hands,56
117,crankcase,картер для двигуна,a protective cover designed to contain or support a mechanical component,57
118,inferiority,відчуття неповноцінності,"the fact of not being as good as another thing, or the feelingthat you are not as good as other people",57
119,maladjusted,непристосований,"A maladjusted person, usually a child, has been raised in a way that does not prepare them well for the demands of life, which often leadsto problems with behaviour in the future",57
120,honeymoon,медовий місяць, a holiday taken by two people who have just got married,58
121,jilted,розірвані (стосунки),a romantic relationship finished with someone suddenly andunkindly:,58
122,to pave the way,прокладати шлях (до цілі)," If something paves the way for/to something else, it makes the other thing possible",58
123,to humiliate,принижувати,"make (someone) feel ashamed and foolish by injuring their dignity and self-respect, especially publicly.",59
124,jagged,зубчатий (нерівний берег),very rough and sharp,59
125,clue,доказ,a sign or a piece of information that helps you to solve aproblem or answer a question,59
126,to shrivel,"знищуватись, зникати","wrinkle and contract or cause to wrinkle and contract, especially due to loss of moisture.",60
127,to arouse,викликати ,to make someone have a particular feeling or reaction,60
128,quirk,дивацтво,a strange habit,61
129,jaybird,сойка,"a noisy colourful bird that lives in Europe, Asia, and North America",61
130,lonesome,самотній,lonely,61
131,to growl at,ричати(кричати) на когось,"If a dog or similar animal growls, it makes a deep, angry noise in itsthroat.",63
132,to pick on smb,присікуватися, to choose a person and criticize or treat them unfairly,63
133,meager,"мізерний, недостатній",not enough in amount,63
134,irate,сердитий,extremely angry,63
135,to inject,привносить,to add a good quality to something,64
136,tongue-lashing,сварити когось,"If you give someone a tongue-lashing, you speak angrily to thatperson about something that they have done wrong:",64
137,a scapegoat,козел відпущення,"someone who is blamed for a bad situation, although they have notcaused it",64
138,to blow one's stack,розізлитись,to become extremely angry,64
139,to cheat,використовувати шпаргалки, to behave in a way that is not honest or fair in order to winsomething or to get something,65
